Group,Column,Company,Column
Year ended 30 June,,Year ended 30 June,
2024,2023,2024,2023
Shs’000,Shs’000,Shs’000,Shs’000
"(3,006,126)","(12,727)","(2,966,462)","(76,640)"
(427),"(3,315)",(427),"(3,315)"
-,-,-,-
"(3,006,553)","(16,042)","(2,966,889)","(79,955)"
"(160,136)","(109,873)","(160,136)","(109,873)"
-,"(5,174)",-,"(5,174)"
"3,089,646","2,107,256","3,089,646","2,107,256"
-,-,-,-
"2,929,510","1,992,209","2,929,510","1,992,209"
-,"366,261",-,"366,261"
-,"(2,229,221)",-,"(2,229,221)"
"(8,276)","(8,702)","(8,276)","(8,702)"
"(8,276)","(1,871,662)","(8,276)","(1,871,662)"
"(85,319)","104,505","(45,655)","40,592"
"25,796","(61,380)",-,-
"80,281","37,156","66,413","25,821"
"(85,319)","104,505","(45,655)","40,592"
"20,758","80,281","20,758","66,413"
