GROUP,COMPANY,GROUP AND COMPANY
2012,2012,2011
KShs’000,KShs’000,KShs’000
"991,038","991,038","1,023,486"
"233,068","223,420","374,158"
"88,190","88,190","77,736"
"63,542","63,542","36,385"
"38,288","38,288","36,676"
"64,926","64,926","81,059"
"1,479,052","1,469,404","1,629,500"
