GROUP,COMPANY,"GROUP AND
COMPANY"
2012,2012,2011
KShs’000,KShs’000,KShs’000
"871,503","865,681","731,171"
"127,704","127,704","86,149"
"40,580","40,580","1,660"
57,57,63
"39,185","38,835","41,084"
"50,347","46,482","48,748"
"39,185","29,172","20,848"
"22,505","22,153","13,984"
"4,498","4,498","13,684"
"13,316","13,316","17,515"
"12,033","11,999","7,338"
"11,396","11,396","7,610"
"35,264","35,264","28,433"
"12,409","12,409","9,108"
"52,316","40,323","23,450"
"1,332,298","1,299,869","1,050,845"
"114,434","108,976","58,531"
"2,859","2,859","5,254"
"1,581","1,581","7,275"
"13,497","12,676","14,485"
"4,664","4,664","7,874"
"6,200","5,587","4,538"
-,-,"60,115"
"4,778","4,778",-
"92,348","66,238","1,437"
"240,361","207,359","159,509"
"11,449","11,449","9,975"
"96,916","96,916",-
"108,365","108,365","9,975"
