SHARE DISTRIBUTION SCHEDULE 30.6.2011
Category No. of Shareholders Shares Held Percentage
"1-1,000 709 249,703 0.28
1,001-5,000 219 537,897 0.60
5,001-10,000 58 433,877 0.48
10,001-50,000 51 1,192,180 1.32
50,001-100,000 10 703,418 0.78
Over 100,000 12 86,882,925 96.54"
"TOTAL 1,059 90,000,000 100.00"
