Note,Column,2012,2011
,,KShs’000,KShs’000
,,,Restated*
25,,"8,614,806","10,172,140"
26,,"(7,391,003)","(7,803,463)"
,,"1,223,803","2,368,677"
27,,"120,705","30,101"
28,,-,"144,945"
,,"1,344,508","2,543,723"
29,,"(382,328)","(679,729)"
30,,"(1,332,298)","(1,050,845)"
31,,"(240,361)","(159,509)"
,,"(1,954,987)","(1,890,083)"
,,"(610,479)","653,640"
32,,"108,365","9,975"
33,,"(285,990)","(126,765)"
,34,"(61,575)","(655,909)"
35,,"(849,679)","(119,059)"
15(b),,"28,193","120,776"
,,"(821,486)","1,717"
,,"2,958",-
,,"(818,528)","1,717"
36,,(9.09),0.02
