Classifi cation,Designation,Column,Column
,,"Audit
Committee","Technical
Committee"
Non executive,,√,√
“,,,√
“,"Chairman
HRRC",√,√
Executive,,,√
"Non Executive
- Independent","Chairman
Audit
Committee",√,
“,"Chairman
Technical
Committee",√,√
“,,√,
