Column,"Freehold
land",Buildings,"Plant and
machinery","Motor
Vehicles","Computers,
office
equipment
and Fittings","Capital Work
in progress",Total
,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000
At 1st July 2020,,,,,,,
Cost or fair value,"362,000","1,265,602","6,314,510","348,101","64,725","157,021","8,511,959"
"Accumulated
depreciation",-,"(94,748)","(1,269,200)","(181,899)","(34,815)",-,"(1,580,662)"
"Closing net book
value","___________
362,000
___________
___________","_________
1,170,854
_________
_________","__________
5,045,310
__________
__________","_________
165,022
_________
_________","__________
29,910
__________
__________","__________
157,021
__________
__________","_________
6,931,297
_________
_________"
Year ended 30th June 2021,,,,,,,
"Opening carrying
amount","362,000","1,170,854","5,045,310","166,202","29,910","157,021","6,931,297"
Additions,-,-,"91,299","2,997","2,266",-,"96,562"
"Depreciation
charge",-,"(31,640)","(427,745)","(62,680)","(16,086)",-,"(538,151)"
"Revaluation
surplus/(deficit)","1,000","(181,214)","548,209",-,"9,539",-,"377,534"
"Closing net book
value","___________
363,000
___________
___________","___________
958,000
___________
___________","___________
5,257,073
___________
___________","___________
106,309
___________
___________","___________
25,859
___________
___________","___________
157,021
___________
___________","___________
6,867,262
___________
___________"
At 30th June2021,,,,,,,
Cost or fair value,"363,000","958,000","5,257,073","106,519","25,629","157,021","6,867,242"
"Accumulated
depreciation",-,-,-,-,-,-,-
"Closing net book
value","___________
363,000
___________
___________","___________
958,000
___________
___________","___________
5,257,073
___________
___________","___________
106,519
___________
___________","___________
25,629
___________
___________","___________
157,021
___________
___________","___________
6,867,242
___________
___________"
Year ended 30th June 2022,,,,,,,
"Opening carrying
amount","363,000","958,000","5,257,073","106,519","25,629","157,021","6,867,242"
Additions,-,-,"6,717",-,"22,862",-,"29,579"
"Cost elimination
on disposal",-,-,"(88,666)","(11,498)",-,-,"(100,164)"
"Depreciation
charge",,"(23,815)","(307,123)","(66,630)","(9,064)",-,"(406,632)"
"Depreciation
eliminated on
disposal",-,-,"5,589","1,438",335,-,"7,362"
"Closing net book
value","___________
363,000
___________
___________","___________
934,185
___________
___________","___________
4,873,590
___________
___________","___________
29,829
___________
___________","___________
39,992
___________
___________","___________
157,021
___________
___________","___________
6,397,387
___________
___________"
At 30th June 2022,,,,,,,
Cost or fair value,"363,000","958,000","5,175,124","95,021","48,491","157,021","6,796,657"
"Accumulated
depreciation",,"(23,815)","(301,534)","(65,192)","(8,729)",-,"(399,270)"
Net book value,"___________
363,000
___________
___________","___________
934,185
___________
___________","___________
4,873,590
___________
___________","___________
29,829
___________
___________","___________
39,992
___________
___________","___________
157,021
___________
___________","___________
6,397,387
___________
___________"
