"450,000","648,000","1,031,948","19,149,731","279,035","21,558,714"
-,-,"(364,948)","364,948",-,-
-,-,"109,484","(109,484)",-,-
-,-,"(960,784)",-,-,"(960,784)"
-,-,"288,235","(288,235)",-,-
-,-,-,"(1,356,467)",-,"(1,356,467)"
-,-,-,-,"11,623","11,623"
-,-,"(928,013)","(1,389,238)","11,623","(2,305,628)"
___________,___________,___________,___________,___________,___________
"__4_5_0__,0__0_0_","__6_4_8__,0__0_0_","__1_0__3_,_9_3_5_","1_7_,7_6__0_,4__9_3_","__2_9__0_,6__5_8_","_1_9_,_2_5__3_,0__8_6_"
