"2017
Kshs’000",Column,"2017
Kshs’000"
"6,928,307
(6,165,496)","8,871,456
(7,283,948)","6,923,749
(6,163,025)"
"762,811
21,527
183,277","1,587,508
78,768
-","760,724
21,527
183,277"
"967,615","1,666,276","965,528"
"(131,068)
(1,857,343)
(295,487)","(297,734)
(1,937,310)
(1,015,803)","(140,265)
(1,841,134)
(261,945)"
"(2,283,898)","(3,250,847)","(2,243,344)"
"(1,316,283)
2,136
(617,017)
134,018
84,243","(1,584,571)
4,357
(618,125)
(305,706)
6,238,797","(1,277,816)
2,070
(617,017)
134,018
84,243"
"(1,712,903)
241,542","3,734,752
411,003","(1,674,502)
241,542"
"(1,471,361)","4,145,755","(1,432,960)"
"572,793
(171,838)",-,"572,793
(171,838)"
"400,955",,"400,955"
"14,629","(8,588)",-
"415,584","(8,588)","400,955"
"(1,055,777)","4,137,167","(1,032,005)"
(16.35),46.06,(15.92)
