GROUP,COMPANY,GROUP AND COMPANY
2012,2012,2011
KShs’000,KShs’000,KShs’000
"8,347,508","6,904,595","9,096,539"
"106,709","1,108,929","920,057"
"160,589","160,589","155,544"
"8,614,806","8,174,113","10,172,140"
"2,903,889","2,453,743","3,388,097"
"101,390","101,390","740,826"
"1,154,401","1,154,401","582,196"
"972,709","972,709","850,331"
"912,095","912,095","808,383"
"413,869","413,869","380,151"
"293,110","293,110","356,387"
"219,897","219,897","123,553"
"14,008","14,008","63,505"
"165,696","165,696","191,164"
"34,218","34,218","32,937"
690,690,"2,658"
"4,377","4,377","4,472"
"36,123","36,123","48,117"
"13,833","13,833","10,196"
"3,332","3,332","2,756"
"10,051","10,051","12,739"
"3,377","3,377","9,838"
"133,938","133,938","195,157"
"7,391,003","6,940,857","7,803,463"
