Director,"Board
Schedule","Board
(special)",aGm (90th)
Chairman – Edwin Kinyua,4,8,1
Managing Director – Oliver Kirubai,4,8,1
CS Treasury or his alternate,4,8,1
"PS Ministry of Investments, Trade & Industry",4,7,1
NSSF,4,6,1
Kungu Gatabaki,4,8,1
Professor Sarone Ole Sena,4,8,1
Company Secretary,4,8,1
