GROUP,COMPANY,GROUP AND COMPANY
2012,2012,2010
KShs’000,KShs’000,KShs’000
"(173,633)","(129,329)","(361,721)"
"291,080","416,644","(292,526)"
"(150,448)","(160,096)","167,582"
-,"(252,931)",66
"(14,864)","(14,864)","(10,235)"
"65,004","52,485","698,282"
"3,667,699","3,667,699","3,378,353"
"(132,537)","(132,537)","655,909"
"(408,519)","(408,519)","(366,563)"
"3,126,643","3,126,643","3,667,699"
"(148,845)","(148,845)",-
"(7,695)","(7,695)",-
"147,635","147,635",-
"(417,424)","(417,424)","(366,563)"
"19,226","19,226","23,834"
"53,464","53,464","84,580"
"(12,324)","(12,324)","(19,226)"
"60,366","60,366","89,188"
"102,189","102,189","14,940"
"16,789","16,789",-
"34,921","34,921",-
"69,215","69,215",-
"283,480","283,480","104,128"
"191,127","191,127","35,080"
-,-,"165,344"
"(49,722)","(49,722)","(9,297)"
"141,405","141,405","191,127"
