GROUP,COMPANY,GROUP AND COMPANY
2012,2012,2011
KShs’000,KShs’000,KShs’000
"(849,679)","(769,487)","(119,059)"
"541,573","541,573","457,920"
57,57,63
"40,580","40,580","1,660"
"4,778","4,778","(1,607)"
-,-,"7,726"
"59,595","59,595","655,909"
"1,979","1,979","(1,124)"
"136,360","136,360","90,304"
"53,464","53,464","84,580"
"102,189","102,189","14,940"
"34,921","34,921","13,466"
"78,628","78,628","13,779"
"16,789","16,789",-
"(11,449)","(11,449)","(9,975)"
"(96,916)","(96,916)",-
"112,869","193,061","1,195,116"
