Director,"Board
(scheduled)","Board
(Special)","82nd
AGM"
Chairman,4,8,1
Managing Director,4,5,1
"CS Treasury or his
alternate",4,6,1
"PS Ministry of Industry,
Trade & Co-operatives",4,4,1
NSSF,4,7,1
Kungu Gatabaki,4,7,1
"Professor Sarone ole
Sena",3,3,-
Company Secretary,4,8,1
