<3 months,3 - 6 months,6 – 12 months,1 - 5 years,Total
"27,411",-,-,-,"27,411"
"240,465","250,000","250,000",-,"740,465"
"(287,385)","(3,004,737)","(4,273,780)",-,"(7,565,902)"
"(10,223)","(10,223)","(10,222)","(27,398)","(58,066)"
"(3,972,201)",-,-,-,"(3,972,201)"
-,-,"(101,680)",-,"(101,680)"
"(1,590)",-,-,-,"(1,590)"
_________,_________,_________,_________,_________
"_(4__,0__0_3_,_5_2_3__)","_(_2_,7_6__4_,_9_6_0__)","_(_4_,_1_3_5_,_6_8_2__)","___ _(_2_7_,_3_9_8__)","(_1_0_,_9_3_1_,_5_6_3__)"
