2022,2021
Kes’000,Kes’000
"3,679,415","7,523,601"
"60,823","184,182"
"65,667","809,900"
-,"(361,763)"
-,"(4,488,237)"
-,"11,732"
"___________
3,805,905
___________
___________","___________
3,679,415
___________
___________"
