Director,"Board
Schedule","Board
(special)","AGM (87th
& 88th)"
Chairman – Edwin Kinyua,4,7,2
Managing Director,4,7,2
CS Treasury or his alternate,4,7,2
"PS Ministry of Industry, Trade
& Enterprise development",4,7,2
NSSF,4,7,2
Kung’u Gatabaki,4,7,2
Professor Sarone ole Sena,4,7,2
Company Secretary,4,7,2
