"Through Other
1 July profi t or comprehensive At 30 June
2015 loss income 2016
KShs’000 KShs’000 KShs’000 KShs’000",Column,Column,Column
"2,067,265
474,858","(44,858)
311,940","-
-","2,022,407
786,798"
"2,542,123","267,082",-,"2,809,205"
"(1,086,106)
(32,769)
(310,604)
(59,140)
(16,353)
(137,223)
(320)","(674,989)
6,406
(16,005)
54,956
(2,427)
(47,962)
(5,087)","-
-
-
-
-
-
-","(1,761,095)
(26,363)
(326,609)
(4,184)
(18,780)
(185,185)
(5,407)"
"(1,642,515)","(685,108)",-,"(2,327,623)"
"899,608","(418,026)",-,"481,582"
"1,812,429
-","254,836
474,858","-
-","2,067,265
474,858"
"1,812,429","729,694",-,"2,542,123"
"(464,210)
(28,835)
(275,386)
(26,209)
(16,372)
(138,719)
(103,668)","(621,896)
(3,934)
(35,218)
(32,931)
19
1,496
103,348","-
-
-
-
-
-
-","(1,086,106)
(32,769)
(310,604)
(59,140)
(16,353)
(137,223)
(320)"
"(1,053,399)","(589,116)",-,"(1,642,515)"
"759,030","140,578",-,"899,608"
