Name,Bruno M. Mochumbe
Position,"Manager, ICT"
Date Joined,"5th April, 2013"
Profession,ICT
Key Qualifications,"Bachelor of Science Degree - IT; MBA
-Strategic Management; Certified
Information Systems Auditor (CISA)"
