Column,Share Capital,"Share
Premium","Asset
revaluation","Retained
earnings","Other
reserves",Total
"Year ended 30th
June 2021",Kes’000,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000
At start of year,"450,000","648,000","1,181,352","16,306,622","130,554","18,716,528"
"Transfer of excess
depreciation",-,-,"(233,083)","233,083",-,-
"Deferred tax on excess
depreciation",-,-,"69,925","(69,925)",-,-
Profit for the year,-,-,-,"1,887,846",-,"1,887,846"
"Other comprehensive
income",-,-,"264,274",-,"106,471","370,745"
"Total comprehensive
income for the year",-,-,"264,274","1,887,846","106,471","2,258,591"
At end of year,"___________
450,000
___________
___________","___________
648,000
___________
___________","___________
1,282,468
___________
___________","___________
18,357,626
___________
___________","___________
237,025
___________
___________","___________
20,975,119
___________
___________"
"Year ended 30th
June 2022",,,,,,
At start of year,"450,000","648,000","1,282,468","18,357,626","237,025","20,975,119"
"Transfer of excess
depreciation",-,-,"(357,886)","357,886",-,-
"Deferred tax on excess
depreciation",-,-,"107,366","(107,366)",-,-
Profit for the year,-,-,-,"541,585",-,"541,585"
"Other comprehensive
income",-,-,-,,"42,010","42,010"
"Total comprehensive
income for the year",-,-,-,"541,585","42,010","583,595"
At end of year,"___________
450,000
___________
___________","___________
648,000
___________
___________","___________
1,031,948
___________
___________","___________
19,149,731
___________
___________","___________
279,035
___________
___________","___________
21,558,714
___________
___________"
