"2011
Sh'000","2010
Sh'000"
"10,172,140","9,408,711"
"(199,059)
561,255
-","(338,571)
(284,051)
-"
"450,000
6,262,456","450,000
5,701,201"
0.50,"6.24 (3
-"
0.50,-
