UShs,US$,YEN,DKK
KShs’000,KShs’000,KShs’000,KShs’000
"40,545","79,074",-,-
"54,178","80,789",-,-
"94,723","159,863",-,-
-,-,"3,402,186",-
-,"30,991","47,361","27,909"
-,"30,991","3,449,547","27,909"
"53,563","330,555",-,-
"46,194","134,166",-,-
"99,757","464,721",-,-
-,-,"3,261,080",-
-,"41,987","82,761","33,109"
-,"41,987","3,343,841","33,109"
