"2012 2013 2014 2015 2016
Ksh 000 Ksh 000 Ksh 000 Ksh 000 Ksh 000",Column
"8,508,120 9,211,462 9,057,292 8,417,621
(793,714) 340,931 (92,955) (577,579)
(61,575) 594,113 36,769 174,834
(972,715) 1,775,383 (386,631) 7,157,070
60,199 355,905 (12,931) (185,001)
2,958 713,451 1,049 15,348
(969,757) 2,488,834 (385,582) 7,172,418","8,871,456
(1,584,571)
(305,706)
4,145,755
411,003
(8,588)
4,137,167"
-10.8 19.7 -4.3 79.5,46.1
"11,520,764 12,531,640 12,545,807 19,955,246
2,456,031 3,602,063 3,171,450 3,157,336
13,976,795 16,133,703 15,717,257 23,112,582
4,601,423 7,090,257 6,704,675 13,809,593
6,976,194 5,723,968 5,500,293 5,537,618
2,399,178 3,319,478 3,512,289 3,765,371
13,976,795 16,133,703 15,717,257 23,112,582","25,727,272
2,114,848
27,842,120
17,946,760
4,933,240
4,962,120
27,842,120"
"13% 25% 26% 22%
-9% 4% -1% -7%
-11% 19% -4% 85%
-7% 11% -2% 31%
-21% 25% -6% 52%","18%
-18%
47%
15%
23%"
"1.02 1.09 0.9 0.84
0.26 0.39 0.29 0.32
0.89 0.45 0.5 0.27","0.43
0.14
0.24"
