Category,Column,No. of Shareholders,Shares Held,Column,Percentage
,"1-1,000",1105,,"314,110",0.35%
,"1,001-5,000",243,,"588,661",0.65%
,"5,001-10,000",44,,"314,060",0.35%
,"10,001-50,000",32,,"648,643",0.72%
,"50,001-100,000",5,,"352,562",0.39%
,"Over 100,000",12,,"87,781,964",97.54%
,,"1,441","90,000,000",,100%
