Director,"Board
(scheduled)","Board
(Special)","82nd
AGM"
Chairman,4,12,1
Managing Director,4,10,1
CS Treasury or his alternate,4,5,1
"PS Ministry of Industry,
Trade & Co-operatives",4,9,1
NSSF,4,8,1
Kungu Gatabaki,4,12,1
Professor Sarone Ole Sena,4,8,-
Company Secretary,4,12,1
