"At 1 July
2009","Statement of
comprehen-
sive income",At 30 June 2010
KShs’000,KShs’000,KShs’000
"1,623,111","4,264","1,672,375"
"35,706","(35,706)",-
"(4,347)","4,347",-
"1,654,470","(27,095)","1,627,375"
"(211,639)","(98,134)","(309,773)"
"(4,297)","(2,221)","(6,518)"
"(17,594)","(4,375)","(21,969)"
"(124,895)","(6,343)","(131,238)"
-,"(22,198)","(22,198)"
"(237,959)","102,000","(135,959)"
"(596,384)","(31,271)","(627,655)"
"1,058,086","(58,366)","999,720"
