Standard,executive summary,effective date
"Amendment to
IAS 1 – Non-current
liabilities with
covenants","These amendments clarify how conditions with which an entity must
comply within twelve months after the reporting period affect the
classification of a liability. The amendments also aim to improve
information an entity provides related to liabilities subject to these
conditions.",1 January 2024
"Amendment to IAS
12 - International
tax reform - pillar
two model rules","These amendments give companies temporary relief from accounting
for deferred taxes arising from the Organisation for Economic Co-
operation and Development’s (OECD) international tax reform. The
amendments also introduce targeted disclosure requirements for
affected companies.",1 January 2024
"Amendment to
IFRS 16 – Leases on
sale and leaseback","These amendments include requirements for sale and leaseback
transactions in IFRS 16 to explain how an entity accounts for a sale
and leaseback after the date of the transaction. Sale and leaseback
transactions where some or all the lease payments are variable
lease payments that do not depend on an index or rate are most
likely to be impacted.",1 January 2024
"Amendments to
IAS 7 and IFRS 7 on
Supplier finance
arrangements","These amendments require disclosures to enhance the transparency
of supplier finance arrangements and their effects on a company’s
liabilities, cash flows and exposure to liquidity risk. The disclosure
requirements are the IASB’s response to investors’ concerns that
some companies’ supplier finance arrangements are not sufficiently
visible, hindering investors’ analysis.","Annual periods beginning on
or after 1 January 2024 (with
transitional reliefs in the first
year)."
"IFRS S1, ‘General
requirements
for disclosure of
sustainability-
related financial
information","This standard includes the core framework for the disclosure
of material information about sustainability-related risks and
opportunities across an entity’s value chain.","Reporting periods beginning
on or after 1 January 2024.
This is subject to endorsement
of the standards by local
jurisdictions."
"IFRS S2, ‘Climate-
related disclosures’","This is the first thematic standard issued that sets out requirements
for entities to disclose information about climate-related risks and
opportunities.","Reporting periods beginning
on or after 1 January 2024.
This is subject to endorsement
of the standards by local
jurisdictions."
