Note,Column,2012,2011
,,KShs’000,KShs’000
,,,Restated*
25,,"8,174,113","10,172,140"
26,,"(6,940,857)","(7,803,463)"
,,"1,233,256","2,368,677"
27,,"120,705","30,101"
28,,-,"144,945"
,,"1,353,961","2,543,723"
29,,"(377,020)","(679,729)"
30,,"(1,299,869)","(1,050,845)"
31,,"(207,359)","(159,509)"
,,"(1,884,248)","(1,890,083)"
,,"(530,287)","653,640"
32,,"108,365","9,975"
33,,"(285,990)","(126,765)"
,34,"(61,575)","(655,909)"
35,,"(769,487)","(119,059)"
15(b),,"28,193","120,776"
,,"(741,294)","1,717"
,,-,-
,,"(741,294)","1,717"
36,,(8.24),0.02
