"Freehold
land",Buildings,"Plant and
machinery","motor
Vehicles","Computers
office equipment
furniture and
fittings","Capital
Work in
progress",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,,Shs’000
"363,000","958,000","5,257,073","106,309","25,859","157,021","6,867,262"
-,-,-,-,-,-,-
_________,_________,_________,_________,_________,_________,_________
"_ _3_6_3_,_0_0_0_","_ _9_5_8_,_0_0_0_","_5_,2__5_7_,0_7_3_","__1_0_6_,_3_0_9_","__ _2_5_,_8_5_9_","__ _1_5_7_,0__2_1","6__,8_6__7_,2_6_2_"
"363,000","958,000","5,257,073","106,309","25,859","157,021","6,867,262"
-,-,"6,717",-,"22,862",-,"29,579"
-,-,"(88,666)","(11,498)",-,-,"(100,164)"
,"(23,815)","(307,123)","(66,630)","(9,064)",-,"(406,632)"
-,-,"5,589","1,438",335,-,"7,362"
_________,_________,_________,_________,_________,_________,_________
"_ _3_6_3_,_0_0_0_","__ 9_3__4_,1_8_5_","4__,8_7_3_,_5_9_0_","____2_9_,6__19_","__ _3_9_,_9_9_2_","__ _1_5_7_,0__2_1","_6_,3_9__7_,4_0__7"
"363,000","958,000","5,175,124","94,811","48,721","157,021","6,796,677"
,"(23,815)","(301,534)","(65,192)","(8,729)",-,"(399,270)"
_________,_________,_________,_________,_________,_________,_________
"_ _3_6_3_,_0_0_0_","__ 9_3__4_,1_8_5_","4__,8_7_3_,_5_9_0_","____2_9_,6__19_","__ _3_9_,_9_9_2_","__ _1_5_7_,0__2_1","_6_,3_9__7_,4_0__7"
"363,000","934,185","4,873,590","29,619","39,992","157,021","6,397,407"
-,-,"101,677",-,"8,196",-,"109,873"
-,-,"(18,453)",-,"(15,755)",-,"(34,208)"
-,"(23,815)","(367,135)","(3,992)","(12,221)",-,"(407,163)"
-,-,"2,050",-,"3,911",-,"5,961"
-,-,"(960,784)",-,-,-,"(960,784)"
_________,_________,_________,_________,_________,_________,_________
"_ _3_6_3_,_0_0_0_","__ 9__10__,3_7_0_","3_,_6_3_0_,_9_4_5_","___2__5_,6_2__7","___2__4_,1_2_3_","__ _1_5_7_,0__2_1","_5__,1_1_1,_0_8_6_"
"363,000","958,000","5,258,348","94,811","41,162","157,021","6,872,342"
-,"(47,630)","(666,619)","(69,184)","(17,039)",-,"(800,472)"
-,-,"(960,784)",-,-,-,"(960,784)"
_______,_______,_______,_______,_______,_______,_______
"_ _3_6_3_,_0_0_0_","__ 9__10__,3_7_0_","3_,_6_3_0_,_9_4_5_","___2__5_,6_2__7","___2__4_,1_2_3_","__ _1_5_7_,0__2_1","_5__,1_1_1,_0_8_6_"
