1 July 2021,"Charge/
(credited) to
Profit and loss","Charge to
OCI","at 30 June
2022"
Shs’000,Shs’000,Shs’00,Shs’000
"1,515,353","(120,053)",-,"1,395,300"
"1,275,105","93,517",-,"1,368,622"
"2,790,458","(26,536)",-,"2,763,922"
"(4,891,984)","(409,925)",-,"(5,301,909)"
"(1,011,700)","(86,421)","18,004","(1,080,117)"
"(1,571)","4,195",,"2,624"
"(377,119)","(83,304)",,"(460,423)"
"(6,282,374)","(575,455)","18,004","(6,839,825)"
"(3,491,916)","(601,991)","18,004","(4,075,903)"
"3,491,916","583,987",-,"4,075,903"
___________,___________,___________,___________
___________-,"___(_1_8_,_0_0_4__)","_____18__,0__0_4_",___________-
