S/N,Name,Salary,Fees,Bonuses,"Expenses
Allowances","Loss of
Office/
Termination","Estimated
Value of
Non-cash
Benefits",Total
,,Shs ‘000’,Shs ‘000,Shs ‘000’,Shs ‘000’,Shs ‘000’,Shs ‘000’,Shs ‘000’
1,Edwin Kinyua,-,300,-,"4,817",-,-,"5,117"
2,Oliver Kirubai,"12,167",-,-,-,"3,772",-,"15,939"
3,Kungu Gatabaki,-,160,-,"2,688",-,-,"2,848"
4,Dr. Antony Omerikwa,-,160,-,214,-,-,374
5,Prof. Sarone Ole Sena,-,160,-,"4,071",-,-,"4,231"
6,Edward Wamweya,-,160,-,"2,652",-,-,"2,812"
7,David Mwangangi,-,,-,257,-,-,257
8,Moses Cheseto,-,-,-,814,-,-,814
9,Nancy Muya,-,-,-,"1,081",-,-,"1,081"
10,Timothy Gakuu,-,160,-,"1,500",-,-,"1,660"
,Totals,"12,167","1,100",,"18,094","3,772",-,"35,133"
