Foreign Institutions and Individuals,"26,622,276",Column,29
East African Community Investors,"25,325",0.03%,9
Local Institutions,"61,801,366",68.67%,133
Local Individuals,"1,551,033",1.72%,982
TOTAL,"90,000,000",,"1,153"
