Institution,Donation
"Kajiado County Commissioner’s
Office",100 Bags
Ilkiremisho Primary School,100 Bags
New Life Mission Church,200 Bags
Athi River G.K Prison,100 Bags
ABC Kiatineni Secondary School,100 Bags
Olkejuado High School,100 Bags
DCIO Athi River,50 Bags
Bondeni Children Rescure Centre,50 Bags
Ngoleni Secondary School,200 Bags
AIC Orng’arua,50 Bags
"Kajiado County Commissioner’s
Office","450 M² (Paving
Blocks)"
