Category,Column,No. of Shareholders,Shares Held,Column,Percentage
,"1-1,000",654,,"180,366",0.20
,"1,001-5,000",345,,"510,641",0.57
,"5,001-10,000",95,,"401,062",0.45
,"10,001-50,000",56,,"891,324",0.99
,"50,001-100,000",9,,"443,103",0.49
,"Over 100,000",15,,"87,573,504",97.30
,,"1,174","90,000,000",,100.00
