Up to,1 – 3,3 – 12,1 – 5,Over,Column
1 month,Months,months,Years,5 years,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"528,952","509,508","591,040",-,-,"1,629,500"
-,-,"407,522","2,037,611","1,222,566","3,667,699"
-,-,"61,462","129,665",-,"191,127"
-,"59,570","45,790","366,320","457,900","929,580"
"528,952","569,078","1,105,814","2,533,596","1,680,466","6,437,132"
"467,114","(72,349)","(876,245)","(1,882,978)","(1,163,417)","(3,527,875)"
"201,675","180,208","222,691",-,-,"604,574"
"290,094",-,"85,340",-,-,"375,434"
-,-,"5,769",-,-,"5,769"
"263,194",-,-,-,-,"263,194"
-,"688,585",-,-,"57,349","745,934"
"754,963","868,793","313,800",-,"57,349","1,994,905"
"(1,271,045)","(114,650)","(76,223)",-,-,"(1,461,918)"
-,,"(361,632)","(1,688,993)","(1,351,562)","(3,402,187)"
-,-,"(13,100)","(21,980)",-,"(35,080)"
"(1,271,045)","(114,650)","(450,955)","(1,710,973)","(1,351,562)","(4,899,185)"
"(516,082)","754,143","(137,155)","(1,710,973)","(1,294,213)","(2,904,280)"
