Up to,1 – 3,3 12,1 – 5,Over,Column
1 month,Months,Months,Years,5 years,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"286,131","66,844","371,682",-,-,"724,657"
"71,695",-,"50,225",-,-,"121,920"
"252,931",-,-,"5,703",-,"258,634"
"31,709",-,-,-,-,"31,709"
-,"116,602","121,054","1,410,162","645,382","2,293,200"
"29,435",-,-,-,"59,755","89,190"
"730,004","183,446","542,961","1,415,865","705,137","3,577,413"
"449,170","253,641","291,699","58,315",-,"1,052,825"
-,"219,197","216,914","2,043,558","924,326","3,403,995"
-,"11,521","63,912","117,284",-,"192,717"
-,"96,918","96,582","678,122","674,368","1,545,992"
-,"24,485","73,454","367,267",-,"465,206"
"449,170","605,762","742,561","3,264,546","1,598,694","6,660,733"
"280,834","(422,316)","(199,600)","(1,848,681)","(893,557)","(3,083,320)"
"202,034","102,740","81,928","278,145",-,"664,847"
"577,801",-,"101,795",-,-,"679,596"
-,-,-,"5,703",-,"5,703"
"216,231",-,,,-,"216,231"
-,"45,846","45,846","366,770","458,463","916,925"
-,"348,143",-,-,"58,586","406,729"
"996,066","496,729","229,569","650,618","517,049","2,890,031"
"528,952","509,508","591,040",-,-,"1,629,500"
-,-,"407,522","2,037,611","1,222,566","3,667,699"
-,"11,521","54,619","177,952",-,"244,092"
-,"59,570","45,790","366,320","457,900","929,580"
"528,952","580,599","1,098,971","2,581,883","1,680,466","6,470,871"
"467,114","(83,870)","(869,402)","(1,931,265)","(1,163,417)","(3,580,840)"
