2011,2010
KShs’000,KShs’000
"(361,721)","(396,927)"
"(292,526)","10,832"
"167,582","263,688"
66,"53,203"
"(10,235)","(84,269)"
"698,282","441,015"
"3,378,353","3,241,578"
"655,909","444,841"
"(366,563)","(308,066)"
"3,667,699","3,378,353"
"23,834","19,502"
"84,580","80,790"
-,"6,335"
"(19,226)","(23,834)"
"89,188","82,793"
"14,940","1,733"
"104,128","84,526"
"35,080",-
"165,344","35,080"
"(9,297)",-
"191,127","35,080"
"236,843","179,176"
"(165,344)","(35,080)"
"71,499","144,096"
"348,143","688,585"
"216,231","263,194"
"(1,695)",-
"562,679","951,779"
