Up to,1 - 3,3 - 12,1 - 5,Over,Column
1 month,Months,months,years,5 years,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"(1,271,045)","(114,650)","(76,223)",-,-,"(1.461,918)"
-,-,"(361,632)","(1,688,993)","(1,351,562)","(3,402,187)"
-,-,"(13,100)","(21,980)",-,"(35,080)"
"(1,271,045)","(114,650)","(450,955)","(1,710,973)","(1,351,562)","(4,899,185)"
"(516,082)","754,143","(137,155)","(1,710,973)","(1,294,213)","(2,904,280)"
"763,702","1,490,041","258,452",-,"55,933","2,568,128"
"(759,938)","(374,741)","(377,713)","(1,473,299)","(1,473,619)","(4,459,310)"
"3,764","1,115,300","(119,261)","(1,473,299)","(1,417,686)","(1,891,182)"
