Column,Group,Column,Company,Column
,"2022
Kes’000","2021
Kes’000","2022
Kes’000","2021
Kes’000"
Loss on disposal of investment property,-,"572,844",-,"572,844"
"Loss on disposal of property, plant & equipment","38,998","87,230","38,998","87,230"
Legal accruals,"25,200","385,340","25,200","385,340"
Legal fees,"64,623","265,021","64,623","265,021"
Accruals for staff dues and tax liabilities*,"208,487","137,719","208,487","137,719"
Auditors’ remuneration,"8,923","8,700","8,923","8,700"
Professional fees,"49,463","11,422","49,463","11,422"
Fines and penalties,"8,797","8,728","8,797","8,728"
Bank charges,"3,807","7,183","3,807","7,183"
Subscriptions,"1,498",763,"1,498",763
Donation,135,-,135,-
,"___________
409,931
___________
___________","___________
1,484,950
___________
___________","___________
409,931
___________
___________","___________
1,484,950
___________
___________"
