Column,Board,Board,82nd
Director,(scheduled),(Special),AGM
Chairman – William Lay,2,1,0
Managing Director,3,3,1
CS Treasury or his alternate,2,3,1
"PS Ministry of Industry,
Trade & Co-operatives",2,3,1
NSSF,3,3,1
Kungu Gatabaki,3,3,1
Professor Sarone ole Sena,2,3,1
Company Secretary,3,3,1
