"2011
Shs'000","2010
Shs'000","2009
Shs'000","2008
Shs'000","2007
Shs'000"
"10,172,140
653,640
(655,909)
(119,059)
680,314
561,255","9,408,711
90,015
(451,176)
(338,571)
54,520
(284,051)","8,101,377
1,247,045
(837,522)
1,881,678
(47,624)
1,834,054","7,204,479
1,120,355
(414,451)
715,889
(179,237)
536,652","6,402,736
757,337
307,311
1,112,625
(348,461)
764,164"
,-,"117,000",-,"234,000"
"10,358,801
3,172,070","9,125,885
2,911,680","8,904,918
3,131,045","6,411,608
2,661,737","5,768,197
3,170,375"
"13,530,871","12,037,565","12,035,963","9,073,345","8,938,572"
"6,262,456
5,168,236
2,100,179","5,701,201
4,499,714
1,836,650","6,102,252
4,421,319
1,512,392","4,026,749
3,870,221
1,176,375","3,607,097
3,896,220
1,435,255"
"13,530,871","12,037,565","12,035,963","9,073,345","8,938,572"
"23%
6%
6%
4%
9%
1.5
1.2
6.24
0.50","22%
1%
-3%
-2%
-5%
1.6
1.2
(3.16)","31%
15%
23%
15%
30%
2.1
1.6
20.38
-
1.30","33%
16%
7%
6%
13%
2.3
1.4
5.96
-
-","27%
12%
12%
9%
21%
2.2
1.8
8.49
1.30
1.30"
0.50,-,1.30,-,2.60
