Column,"Audit
committee","Finance
Committee","HR &
Remuneration
Committee"
Chairman - Edwin Kinyua,-,-,-
CS Treasury / Alternate,4,5,-
"PS Ministry of Industry,
Trade and Enterprise
development",4,5,5
NSSF,4,5,5
Managing Director,-,-,-
Kung’u Gatabaki,4,5,5
Prof. Sarone ole Sena,4,-,5
Company Secretary,4,5,5
