S/N,Name,Salary,Fees,Bonuses,"Expenses
Allowances","Post
Employment
Benefits","Estimated
Value of Non-
cash Benefits",Total
,,"Kes
‘000’",Kes ‘000’,Kes ‘000’,Kes ‘000’,Kes ‘000’,Kes ‘000’,Kes ‘000’
1,"Edwin M. Kinyua, EBS",-,300,-,"4,061",-,-,"4,361"
2,Kungu Gatabaki,-,160,-,"2,057",-,-,"2,217"
3,Dr. Antony Omerikwa,-,160,-,814,-,-,974
4,Prof. Sarone Ole Sena,-,160,-,"2,223",-,-,"2,383"
5,Edward Wamweya,-,160,-,"1,114",-,-,"1,274"
6,Nicholas Kamau,-,160,-,900,-,-,"1,060"
7,Patricia Aruwa,-,-,-,129,-,-,129
8,Jane Joram,-,-,-,"1,029",-,-,"1,029"
9,Gerald Mwangi,-,-,-,43,-,-,143
,Totals,-,"1,100",-,"12,370",-,-,"13,470"
