1933,"East African Portland Cement registered; the first Company in the region to manufacture and trade solely in cement. At the time EAPCC produced
60,000 tonnes per year through Mill No. 2"
1934,Deliveries of cement begin
1956,Construction of cement plant starts in Athi River
1957,Athi River factory complete
1958,"EAPCC doubled its production capacity after the completion of the Athi River factory and incorporation of Mills No. 1 and 3
This doubled production capacity to 120,000 tonnes per year"
1971,Government of Kenya bought shares
1973,Listed in Nairobi Stock Exchange
1974,"EAPCC commissioned the new rotary kiln (wet) which added to the production capacity and brought it to a total of 300,000 tonnes per year"
1979,"The Company undertook minor upgrades on Mill No. 3 and put up Raw Mill No. 4, which boosted production capacity to 340,000 tonnes per year"
1996,"A new kiln was commissioned which came complete with a new raw mill (vertical roller-Atox). A bigger limestone crusher and an ultra-modern raw
material pre-blending system which brought production to 600,000 tonnes per year"
1997,Company changes the process from wet process to dry process
2007,"Ground-breaking for new cement mill to boost production capacity from 600,000 metric tonnes to about 1.3 million metric tonnes"
2008,"EAPCC commissions the new cement mill (Cement Mill No.5), which actively doubles cement production capacity to about 1.3 million metric
tonnes per annum
EAPCC signs the Emission Reduction Purchase Agreement (ERPA) with JP Morgan Climate Care for the sale of Carbon Credits"
2009,EAPCC receives prestigious ISO 9001:2008 certification for its intergration of Quality Management Systems
