Director,Board Schedule,Board (Special),AGM (89th)
"Chairman – Edwin M. Kinyua, EBS",4,8,1
Managing Director,4,8,1
CS Treasury or his alternate,4,8,1
"PS Ministry of Investments, Trade & Industry",4,7,1
NSSF,4,6,1
Kungu Gatabaki,4,8,1
Professor Sarone ole Sena,4,8,1
Company Secretary,4,8,1
