GROUP,COMPANY,GROUP AND COMPANY
2012,2012,2011
KShs’000,KShs’000,KShs’000
"333,947","268,816","166,515"
"17,315","17,315","62,912"
"55,220","2,582","6,282"
"68,060","64,262","150,993"
"474,542","352,975","386,702"
"373,499","371,682","278,145"
"848,041","724,657","664,847"
