"2014
KShs’000",Column,"2014
KShs’000"
"2,361,554
(34,356)
(318,011)",,"2,361,554
(34,356)
(318,011)"
"2,009,187","2,361,554","2,009,187"
"(200,413)
159,645","(196,236)
181,528","(200,413)
159,645"
"(358,779)","(377,817)","(358,779)"
"300,556
401,551
(104,771)","280,201
57,378
(37,023)","300,556
401,551
(104,771)"
"597,336","300,556","597,336"
"363,668
(39,394)","-
-","363,668
(39,394)"
"324,274",-,"324,274"
"9,405
25,876
(8,564)","12,324
33,528
(9,405)","9,405
25,876
(8,564)"
"26,717
146,853
49,882
10,285
72,075","36,447
117,940
42,597
23,333
80,669","26,717
146,853
49,882
10,285
72,075"
"305,812","300,986","305,812"
