"373,499
(56,988)",Column,Column
"316,511","50,224","366,735"
"371,682
(56,891)","50,224
-","421,906
(56,891)"
"314,791","50,224","365,015"
"278,145
114,227
(18,873)","50,224
-
-","328,369
114,227
(18,873)"
"373,499","50,224","423,723"
"278,145
112,410
(18,873)","50,224
-
-","328,369
112,410
(18,873)"
"371,682",,
