"2017
Kshs’ 000 Kshs’ 000
Effect on Effect
profit on equity"
"7,043 8,578
(7,043) (8,578)"
"64,247 64,247
(64,247) (64,247)"
"14,248 14,248
(14,248) (14,248)"
