UShs,US$,YEN,DKK
KShs’000,KShs’000,KShs’000,KShs’000
"54,392","14,925",-,-
-,-,"916,925",-
"19,088","410,919",-,-
"73,480","425,844","916,925",-
-,-,"3,686,925",
-,"929,580",-,-
-,"29,464",-,-
-,"959,044","3,686,925",-
"40,545","79,074",-,-
"54,178","80,789",-,-
"94,723","159,863",-,-
-,-,"3,402,186",-
-,"30,991","47,361","27,909"
-,"30,991","3,449,547","27,909"
