Consultant,services
PKF Kenya,"Group External Auditors
Human Capital & Organizational Development"
Enreal Ltd,Strategic Planning
Brand Integrated Consulting,Brand Strategy Development
Redhouse PR,Public Relations
Kenya Professional Realtors Association (KPRA),Sales and Marketing Training
Knight Frank,Market Research - Go County Program
Mboya Wangong’u & Waiyaki Company Advocates,Finance Mobilization
Muriu Mungai & Company Advocates,Legal Advisors
NIC Capital,Nominated Advisor (NOMAD)
NIC Securities,Lead Broker (GEMS)
Co-op Bank,Share Registrars
Suntra Investment Bank,Finance Mobilization
Marketing Communication Limited (MCL),Advertising Agency
