Condensed Statement of Profit or Lossand Other,2014,2013
Comprehensive Income,Kshs.,Kshs.
Revenue,"687,300,740","650,577,657"
Costof sales,"(447,026,877)","(261,692,754)"
Gross profit,"240,273,863","388,884,903"
Other operating income,"114,878,350","107,565,148"
Selling and distribution expenses,"(53,983,001)","(63,784,282)"
Administrative expenses,"(213,113,280)","(212,222,659)"
Other operating expenses,"(27,704,325)","(27,104,801)"
Operating profit,"60,351,607","193,338,309"
Finance costs,"(12,576,936)","(9,873,800)"
Profit before tax,"47,774,671","183,464,609"
Taxcharge,"(38,818,642)","(102,834,652)"
Total comprehensive income,"8,956,029","80,629,957"
Profit attributable to:,,
-Owners of the parent,"(17,876,737)","19,015,020"
-Non controlling interest,"26,832,766","61,614,937"
,"8,956,029",80.629.957
(Loss)/Earnings per share,,
-Basicand diluted,(0.04),0.05
