"839,116,340
(331,897,043)","520,476,605
(491,793,544)","56,547,000
(23,309,000)"
"507,219,297
5,083,007
(42,427,279)
(110,572,075)
(21,577,619)","28,683,061
1,709,441
(103,254,922)
(113,247,681)
(20,713,448)","33,238,000
17,042,322
(5,188,969)
(16,356,579)
(4,512,308)"
"337,725,331
(79,875,635)","(206,823,549)
(78,274,462)","24,222,466
-"
"257,849,696
(90,169,745)","(285,098,011)
84,643,400","24,222,466
(9,160,791)"
"167,679,951","(200,454,611)","15,061,675"
"167,679,951","(200,454,611)","15,061,675"
"94,592,746
73,087,205","(136,177,332)
(64,277,279)","10,248,175
4,813,500"
"167,679,951","(200,454,611)","15,061,675"
4.67,"(89,590.35)","10,248.18"
