No.,Director Number of sh,ares held Independent /Non- Independent
1.,Peter Nduati None,Independent
2.,Caroline Jebet Kigen None,Independent
3.,Kendi Ogamba None,Independent
4.,Peter Mungai None,Independent
5.,Mbugua Gecaga None,Independent
6.,"Luke Kinoti 110,000",Non - independent
7.,"Dan Ochieng Awendo 542,000",Non - Independent
