Column,12-Feb,23-Apr,Total Meetings Attended
Rachel Mbai - Chairpeson,✔,✔,2
Linus Gitahi,✔,✔,2
Caroline Kigen,✘,✘,�
Dan Awendo,✔,✔,2
"KEY
✔ Present ✘ Absent",,,
