NO.,NAME,"SALARY
Shs","MEETING
ATTENDANCE FEES
Shs.","TOTAL
Shs"
,Boniface Kamau - Chairperson,-,"225,000",
2,Susan Kasinga,-,-,-
,Geoffrey Kamau,-,"100,000",
4,Jack Waihenya,-,"150,000","150,000"
,Barth Ragalo,-,"50,000",
6,Connie Gakonyo,-,-,-
,Mbugua Gecaga,-,"150,000",
8,Winnie Ngumi,-,"100,000","100,000"
