As at 31 December,Column
2016,2015
Shs,Shs
"61,234,419","68,647,673"
"685,622,528","730,601,603"
"218,540","2,164,411"
"2,000","2,000"
"747,077,486","801,415,687"
"41,500,000",-
"3,068,296,691","2,910,285,575"
"65,150,396","84,141,264"
"7,986,209","66,473,170"
"3,182,933,296","3,060,900,009"
"3,930,010,782","3,862,315,696"
"919,126,518","871,659,513"
"648,001,907","596,763,412"
"1,096,076,016","883,597,915"
"679,706,916","704,853,776"
"488,418,287",-
"111,334,998","67,671,665"
"10,440,395","6,058,189"
"3,953,105,037","3,130,604,470"
"(770,171,741)","(69,704,461)"
"96,253,550","153,786,882"
"7,388,962","12,060,267"
-,"482,653,859"
"83,430,461","124,919,085"
"187,072,973","773,420,093"
"4,140,178,010","3,904,024,563"
"(210,167,228)","(41,708,867)"
"405,255,320","405,255,320"
"68,842,038","68,842,038"
"(708,895,539)","(552,816,344)"
"(234,798,181)","(78,718,986)"
"24,630,953","37,010,119"
"(210,167,228)","(41,708,867)"
