Column,2006,2007,2008,2009,2010,2011,2012*
Kenyan Population (million),36.1,37.2,38.3,38.6,39.8,41.6,43.0
% of Middle Income,8.0%,10.0%,10.0%,10.0%,11.0%,12.0%,12.0%
No. of Middle Income Class (million),2.9,3.7,3.8,3.9,4.4,5.0,5.2
