Transaction:,"Listing by Introduction on GEMS seg-
ment of NSE."
Issuer:,Home Afrika Limited.
Shares:,"405,255,320 ordinary shares each of
KES 1/- each comprising the issued
and fully paid up share capital of the
Issuer."
Status:,"Upon listing, freely transferable ordi-
nary shares ranking pari passu with
each other."
Trades:,"Shares will be fully dematerialized
and uploaded into the CDS prior to
trading."
Compliance:,"The Listing is subject to the require-
ments of the Articles, The Companies
Act, The Capital Markets Act, the
Nairobi Securities Exchange Listing
Manual and the Central Depositories
Act."
Price per Share:,KES 12 per share.
"Nominated
Advisor:",NIC Capital Limited.
Market Segment:,GEMS.
"Expected Listing
Date:","15th July, 2013"
Governing Law:,Kenyan Law.
