Motor,Computer,Furniture,Office,Column
vehicles,equipment,"and
fittings",equipment,Total
Shs,Shs,Shs,Shs,Shs
"4,984,860","3,182,495","10,078,018","4,833,458","80,073,358"
"(1,390,000)",-,-,-,"(1,390,000)"
-,"162,000","6,252,495","7,308","6,421,803"
"3,594,860","3,344,495","16,330,513","4,840,766","85,105,161"
"2,669,528","2,059,809","4,082,938","1,441,461","16,936,329"
"(608,125)",-,-,-,"(608,125)"
"379,145","385,406","1,530,947","424,913","4,256,050"
"2,440,548","2,445,215","5,613,885","1,866,374","20,584,254"
"1,154,312","899,281","10,716,628","2,974,392","64,520,907"
