Column,Board Meeting,"Audit & Risk
Committee","Finance Procurement
& Strategy Committee","Nomination,
Governance & HR
Committee"
Total of Meetings held in 2020,5,5,3,5
Directors Names,,,,
Peter Nduati,5,5,3,0
Peter Mungai,5,5,3,0
Kendi Ogamba,5,4,3,5
Frida Owinga,3,2,2,0
Luke Kinoti,4,4,3,5
Bertha Mvati,3,2,2,5
Dan Awendo,5,5,3,5
Mbugua Gecaga,5,5,3,5
