Home Afrika Limited Management Team,Column
"Gerald Chege
Age: 44
Chief Executive Officer","Mr. Gerald Chege is the Chief Executive Officer of HAL and is a highly experienced oper-
ational executive with over 15 years of hands on experience. He holds an Executive MBA
from Columbia Business School in Finance and Marketing and further degrees in Bachelor of
Science in Agricultural Economics and Engineering and a Telco Engineer certification. He has
worked for MCI-WorldCom- a facility based provider of ICT in New York as Implementation
Management Engineering Director covering global and government institutional accounts
and focusing on technical support, customer retention, revenue realization and aggregation.
Mr. Chege has also worked as the Chief Finance Officer and President for Shasini Enterprise
LLC a real estate development concern in areas of investment and asset management, fo-
cusing on market strategy for real estate investments, business development and enterprise
growth.
Mr. Chege has also worked as the Chief Finance Officer and President for Shasini Enterprise
LLC a real estate development concern in areas of investment and asset management, fo-
cusing on market strategy for real estate investments, business development and enterprise
growth.
His other areas of focus include organization critical business requirement such as risk man-
agement, due diligence and analysis of investment opportunities, real asset management,
brand development, corporate strategy, business compliance and corporate governance. He
has substantial knowledge in international business best practice and use of technology and
market information to innovate.
Mr. Chege has recently worked for Star Tech Africa as the Chief Strategist and CEO, man-
dated to build the business through sourcing of finance and ensuring service delivery for the
Kenya office, eventually covering the entire Africa Region."
"Simon Kabachia Gichini
Age:31
Finance Manager","Simon is a graduate of Moi University with a Bachelors degree in Business Management spe-
cializing in Finance and Banking. Mr. Gichini is a CPA (K) and registered member with ICPAK.
Simon is currently pursuing a Masters in Strategic Management at the University of Nairobi.
He has over five years experience having worked for various audit firms including JW Muigai
& Associates, Kangethe & Associates and is experienced in Audit, Tax and Financial Report-
ing. His responsibility at Home Afrika Limited including the subsidiary level is to ensure that
the financial activities are utilized in the most efficient manner, ensuring profitability, growth
and goodwill of Home Afrika Limited."
"Ruth Wanjiru Wanyoike
Age:25
HR/ Administration Man-
ager","Ruth is the Human Resource & Administration Manager at Home Afrika. She is a graduate of
Daystar University with a Bachelor of Arts degree with a Double Major in Psychology and So-
cial Work. Ms. Wanyoike also holds a Higher Diploma in Human Resource Management from
the Institute of Human Resource Management. She has over four years of experience hav-
ing worked in several sectors, acquiring immense knowledge in human relations and man-
agement of staff. Ruth’s areas of specialization include human resource management with a
strong emphasis on recruiting and performance management. Ms. Wanyoike manages all
Home Afrika’s and Subsidiary Companies’ corporate events, public relations and shareholder
relations for and behalf of Home Afrika Ltd and the subsidiaries. Her responsibility is to en-
sure proper allocation of human capital in Home Afrika Ltd and its subsidiaries and develop
and implement policy and procedures in the organization. Her responsibility also includes
attending to board matters and ensuring smooth implementation of key action items from
the CEO’s Office."
