As at 31 December,Column
2016,2015
Shs,Shs
"60,773,698.575","64,520,907"
-,"55,000,000"
"218,540","2,164,411"
"76,986,247","76,986,247"
"2,000","2,000"
"567,900,000","542,400,000"
"824,324","530,565"
706704810,"741,604,130"
"41,500,000",-
"115,000,000","133,000,000"
"250,839,627","226,509,293"
"2,842,897","30,143,710"
"410,182,524","389,653,003"
"1,116,887,334","1,131,257,133"
"416,418,109","343,748,928"
"28,497,287","7,494,940"
"6,428,580","6,863,367"
"488,418,287",-
"2,628,864","1,247,066"
"942,391,127","359,354,301"
"(532,208,603)","30,298,702"
"7,388,962","12,060,267"
-,"482,653,859"
"7,388,962","494,714,126"
"949,780,089","854,068,427"
"167,107,245","277,188,706"
"405,255,320","405,255,320"
"68,842,038","68,842,038"
"(306,990,113)","(196,908,652)"
167107245,277188706
