Condensed Statement of Financial Position,2014,2013
,Kshs.,Kshs.
EQUITY& NON-CURRENTLIABILITIES,,
Sharecapital,"405,255,320","405,255,320"
Share premium,"68,842,038","68,842,038"
Accumulated deficit,"(185,170,322)","(167,293,585)"
Equity attributed to owners of the parent,"288,927,036","306,803,773"
Non-controlling interest,"59,455,433","32,622,667"
Total equity,"348,382,469","339,426,440"
Non-current liabilities,"864,658,139","499,758,203"
,1.213.040.608,839.184.643
REPRESENTEDBY,,
Non-current assets,"750,647,809","637,806,643"
Current assets,"2,967,988,276","2,426,641,998"
Current liabilities,"(2,505,595,477)","(2,225,263,998)"
,1.213.040.608,839.184.643
